DSP_fir_cplx_c,8509,8263,"1,029771",343304,5263,-scalarrepl-ssa, -early-cse, -reassociate, -loop-rotate, -loop-unswitch,8263,-scalarrepl-ssa, -early-cse, -reassociate, -loop-rotate, -lower-expect, -loop-unswitch,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_fir_cplx_c,8509,8262,"1,029896",428649,5344,-gvn, -reassociate, -loop-rotate, -gvn, -basicaa, -scalarrepl-ssa, -loop-unswitch,8262,-constmerge, -gvn, -reassociate, -domtree, -loweratomic, -loop-instsimplify, -loop-rotate, -memdep, -always-inline, -constmerge, -gvn, -die, -loop-idiom, -codegenprepare, -basicaa, -adce, -mergereturn, -early-cse, -scalar-evolution, -tailcallelim, -scalarrepl-ssa, -loop-unswitch, -memcpyopt, -sink,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_fir_cplx_c,8509,8258,"1,030395",385828,5360,-gvn, -reassociate, -basicaa, -loop-rotate, -loop-unswitch, -scalarrepl-ssa, -codegenprepare, -loop-reroll, -loop-deletion,8258,-gvn, -simplifycfg, -inline, -reassociate, -die, -deadargelim, -basicaa, -lowerswitch, -targetlibinfo, -loop-simplify, -lowerswitch, -argpromotion, -early-cse, -gvn, -loop-rotate, -tailcallelim, -domtree, -lowerinvoke, -loop-unswitch, -scalarrepl-ssa, -codegenprepare, -dse, -mergereturn, -loop-reroll, -loop-deletion,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_firlms2_c,831,820,"1,013415",241030,3635,-scalarrepl, -loop-reduce, -loop-rotate,820,-scalarrepl, -loop-reduce, -loop-rotate,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_firlms2_c,831,821,"1,01218",211665,3352,-loop-rotate, -scalarrepl-ssa,821,-loop-rotate, -scalarrepl-ssa,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_firlms2_c,831,820,"1,013415",255444,3909,-scalarrepl, -loop-reduce, -loop-rotate,820,-scalarrepl, -loop-reduce, -loop-rotate,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_fltoq15_c,1015,967,"1,049638",213842,3603,-jump-threading, -loop-rotate, -sroa,967,-jump-threading, -loop-rotate, -sroa,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_fltoq15_c,1015,967,"1,049638",242155,4092,-jump-threading, -scalarrepl, -loop-rotate,967,-jump-threading, -scalarrepl, -loop-rotate,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_fltoq15_c,1015,967,"1,049638",189110,3265,-loop-rotate, -jump-threading, -scalarrepl,967,-loop-rotate, -jump-threading, -scalarrepl,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_mat_mul_c,53236,39726,"1,34008",8817735,5349,-licm, -jump-threading, -loop-rotate, -globaldce, -scalarrepl-ssa, -loop-unswitch, -loop-reduce, -adce, -loop-rotate, -loop-extract, -loop-reduce, -loop-rotate, -loop-unswitch, -loop-extract, -loop-unswitch, -loop-reduce, -loop-rotate, -loop-extract, -loop-unswitch, -loop-reduce, -loop-rotate, -loop-extract, -loop-unswitch, -loop-reduce, -loop-rotate, -basicaa, -loop-extract, -loop-unswitch, -loop-reduce, -loop-rotate, -ipsccp, -loop-extract, -loop-unswitch, -loop-reduce, -loop-rotate, -loop-extract, -loop-unswitch, -loop-reduce, -loop-rotate, -mergereturn, -loop-unswitch, -loop-reduce, -adce, -indvars,39889,-dse, -dse, -instsimplify, -licm, -jump-threading, -scalarrepl, -ipsccp, -dce, -scalarrepl-ssa, -loop-rotate, -strip-dead-prototypes, -lcssa, -loweratomic, -loop-simplify, -loop-instsimplify, -instsimplify, -die, -loops, -scalar-evolution, -globaldce, -loop-deletion, -constprop, -scalarrepl-ssa, -loop-unswitch, -loop-reduce, -adce, -loop-rotate, -loop-extract, -scalarrepl, -scalar-evolution, -mergereturn, -scalarrepl-ssa, -loop-unswitch, -loop-reduce, -adce, -loop-rotate, -loop-unswitch, -loop-reduce, -loop-deletion, -constprop, -loop-extract, -aa-eval, -scalarrepl-ssa, -loop-unswitch, -loop-reduce, -adce, -loop-rotate, -loop-extract, -scalar-evolution, -mergereturn, -loop-unswitch, -loop-reduce, -adce, -loop-rotate, -indvars, -memdep, -tailcallelim, -indvars, -basicaa, -loop-deletion, -constprop, -loop-extract, -scalar-evolution, -loop-deletion, -constprop, -loop-extract, -scalar-evolution, -mergereturn, -loop-unswitch, -loop-reduce, -adce, -loop-rotate, -indvars, -memdep, -tailcallelim, -indvars, -basicaa, -loop-deletion, -constprop, -loop-extract, -loop-unswitch, -loop-reduce, -adce, -loop-rotate, -indvars, -memdep, -tailcallelim, -indvars, -memdep, -ipsccp, -constprop, -loop-extract, -scalar-evolution, -scalarrepl-ssa, -loop-unswitch, -loop-reduce, -adce, -loop-rotate, -constprop, -loop-extract, -scalar-evolution, -mergereturn, -scalarrepl-ssa, -loop-unswitch, -loop-reduce, -adce, -loop-rotate, -scalar-evolution, -mergereturn, -scalarrepl-ssa, -loop-unswitch, -loop-reduce, -adce, -loop-rotate, -loop-unswitch, -loop-reduce, -adce, -loop-rotate, -indvars, -memdep, -tailcallelim, -memcpyopt, -scalar-evolution,123
DSP_mat_mul_c,53236,49723,"1,070651",555745,5338,-loop-rotate, -scalarrepl, -strip-dead-prototypes, -loop-unswitch, -gvn, -loop-unswitch, -loop-reduce, -jump-threading, -loop-idiom, -licm,49723,-loop-idiom, -reassociate, -lowerswitch, -always-inline, -loop-rotate, -constprop, -scalarrepl, -sink, -strip-dead-prototypes, -domtree, -loop-unswitch, -targetlibinfo, -scalarrepl, -die, -dse, -basicaa, -functionattrs, -gvn, -loop-unswitch, -inline, -domtree, -loop-reduce, -loops, -always-inline, -loop-rotate, -domtree, -instsimplify, -scalarrepl, -jump-threading, -lowerswitch, -loop-idiom, -basiccg, -loop-rotate, -die, -licm, -loop-instsimplify, -die, -memdep, -loop-simplify,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_mat_mul_c,53236,49716,"1,070802",519658,5207,-loop-rotate, -scalarrepl, -loop-reduce, -licm, -loop-reduce, -globalopt, -loop-unswitch, -loop-unswitch,49716,-loop-rotate, -globalopt, -scalarrepl, -loop-reduce, -licm, -loop-reduce, -globalopt, -loop-unswitch, -loop-unswitch,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
