DSP_fir_cplx_c,8509,8277,"1,028029",404508,5971,-scalarrepl, -licm, -early-cse, -loop-unswitch, -loop-rotate, -simplifycfg,8277,-scalarrepl, -licm, -loop-instsimplify, -early-cse, -loop-unswitch, -loop-rotate, -simplifycfg,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_fir_cplx_c,8509,8260,"1,030145",389728,5940,-scalarrepl, -early-cse, -loop-unswitch, -loop-rotate, -instcombine, -reassociate,8260,-scalarrepl, -early-cse, -loop-unswitch, -loop-rotate, -instcombine, -reassociate, -indvars, -sink, -sink, -loop-unswitch,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_fir_cplx_c,8509,8279,"1,027781",453396,5961,-gvn, -scalarrepl, -loop-rotate, -gvn, -licm, -loop-unswitch, -basicaa,8279,-deadargelim, -gvn, -scalarrepl, -no-aa, -loop-rotate, -loop-deletion, -gvn, -licm, -loop-unswitch, -ipconstprop, -basicaa, -loop-rotate,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_firlms2_c,831,821,"1,01218",213867,3323,-scalarrepl, -loop-rotate,821,-scalarrepl, -loop-rotate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_firlms2_c,831,820,"1,013415",293386,4034,-scalarrepl, -loop-reduce, -loop-rotate,820,-scalarrepl, -loop-reduce, -loop-rotate,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_firlms2_c,831,820,"1,013415",282138,4054,-scalarrepl, -loop-reduce, -loop-rotate,820,-scalarrepl, -loop-reduce, -loop-rotate,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_fltoq15_c,1015,967,"1,049638",245243,3876,-scalarrepl-ssa, -jump-threading, -loop-rotate,967,-scalarrepl-ssa, -jump-threading, -loop-rotate,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_fltoq15_c,1015,967,"1,049638",270661,3928,-loop-rotate, -scalarrepl-ssa, -jump-threading,967,-loop-rotate, -scalarrepl-ssa, -jump-threading,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_fltoq15_c,1015,967,"1,049638",216628,3645,-loop-rotate, -scalarrepl, -jump-threading,967,-loop-rotate, -scalarrepl, -jump-threading,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_mat_mul_c,53236,44201,"1,204407",773394,6124,-licm, -gvn, -loop-reduce, -loop-rotate, -mergefunc, -loop-reduce, -instcombine, -loop-extract, -loop-unswitch, -loop-unswitch, -functionattrs, -loop-rotate, -instcombine, -loop-extract, -partial-inliner, -loop-reduce, -loop-rotate, -loop-reduce, -loop-extract, -instcombine, -loop-rotate, -loop-reduce, -loop-unswitch, -loop-extract, -instcombine, -basicaa, -functionattrs, -loop-rotate, -loop-unswitch, -loop-extract, -loop-unswitch, -loop-unswitch, -licm,44667,-functionattrs, -licm, -instsimplify, -gvn, -no-aa, -loop-reduce, -loop-instsimplify, -loop-instsimplify, -basicaa, -functionattrs, -loop-rotate, -instcombine, -partial-inliner, -mergefunc, -lazy-value-info, -loop-reduce, -instcombine, -basicaa, -loop-deletion, -adce, -loop-extract, -loop-unroll, -memcpyopt, -loop-unswitch, -loop-unswitch, -loop-unswitch, -sccp, -targetlibinfo, -lcssa, -sccp, -targetlibinfo, -lcssa, -functionattrs, -loops, -loop-instsimplify, -basicaa, -functionattrs, -loop-rotate, -instcombine, -partial-inliner, -mergefunc, -lazy-value-info, -loop-reduce, -instcombine, -basicaa, -loop-deletion, -adce, -loop-extract, -loop-unroll, -memcpyopt, -loop-deletion, -sccp, -licm, -loop-reduce, -partial-inliner, -lazy-value-info, -loop-reduce, -instcombine, -basicaa, -functionattrs, -targetlibinfo, -lcssa, -functionattrs, -loops, -loop-instsimplify, -basicaa, -functionattrs, -loop-rotate, -instcombine, -partial-inliner, -mergefunc, -lazy-value-info, -loop-reduce, -instcombine, -loop-extract, -instcombine, -basicaa, -functionattrs, -loop-rotate, -loop-reduce, -scalarrepl, -loop-unroll, -loop-reduce, -instcombine, -basicaa, -loop-deletion, -loop-reduce, -instcombine, -basicaa, -loop-unswitch, -adce, -loop-extract, -instcombine, -basicaa, -functionattrs, -loop-rotate, -loop-reduce, -scalarrepl, -loop-unroll, -sccp, -licm, -loop-reduce, -partial-inliner, -scalarrepl, -sccp, -targetlibinfo, -lcssa, -loop-reduce, -basiccg, -loop-rotate, -loop-unroll, -loop-unswitch, -argpromotion, -loop-deletion, -adce, -loop-extract, -loop-unroll, -memcpyopt, -loop-unswitch, -memcpyopt, -memcpyopt, -loop-unswitch, -dse, -scalar-evolution, -licm, -basiccg, -loop-simplify,127,,,,,,,,,,,,,,,,,,,,
